iter	RMSE
0	76066.78534
1	73741.1912
2	71492.86603
3	69310.57267
4	67207.60579
5	65199.18852
6	63182.09162
7	61380.91766
8	59576.98392
9	57785.31055
10	56222.87471
11	54824.53111
12	53351.98973
13	52121.37817
14	50721.04222
15	49371.28913
16	48087.62537
17	46937.06944
18	45883.39541
19	44905.29588
20	43757.8289
21	42793.78949
22	41901.70056
23	40924.84816
24	40108.38829
25	39365.6111
26	38618.59752
27	37917.33509
28	37224.31301
29	36611.71156
30	36010.52706
31	35428.70978
32	34873.34967
33	34335.2041
34	33817.09164
35	33362.38173
36	32897.37891
37	32462.93422
38	31944.26531
39	31495.84536
40	31111.1518
41	30704.59046
42	30349.61798
43	29951.58201
44	29607.96695
45	29277.02839
46	28984.75248
47	28698.16538
48	28400.36192
49	28080.96176
50	27777.77437
51	27447.81585
52	27192.18564
53	26882.73083
54	26629.58502
55	26420.14099
56	26180.41209
57	25976.24044
58	25750.45486
59	25522.52814
60	25336.27479
61	25130.5252
62	24964.43964
63	24757.80354
64	24531.38108
65	24351.67124
66	24164.49019
67	24034.09093
68	23861.64494
69	23788.1771
70	23633.41422
71	23477.98423
72	23351.94693
73	23249.35089
74	23110.8335
75	22939.36748
76	22804.3921
77	22671.44044
78	22560.19371
79	22445.16618
80	22411.74145
81	22263.6368
82	22107.02597
83	22004.49117
84	21883.9472
85	21802.41801
86	21666.00335
87	21560.58125
88	21461.22825
89	21389.41673
90	21283.95503
91	21190.83787
92	21054.2735
93	20970.0243
94	20885.71703
95	20790.61533
96	20663.91951
97	20599.19203
98	20540.53258
99	20510.56004
100	20482.44704
101	20451.12365
102	20355.45994
103	20274.48053
104	20248.90095
105	20142.88579
106	20133.14527
107	20064.31385
108	19982.10112
109	19921.75074
110	19906.14448
111	19805.8598
112	19743.72275
113	19696.35258
114	19621.3277
115	19538.49658
116	19446.64691
117	19351.30434
118	19288.15774
119	19263.31839
120	19210.97054
121	19157.84293
122	19050.47782
123	18980.96128
124	18900.59988
125	18829.02584
126	18768.69815
127	18747.81418
128	18676.82851
129	18619.41192
130	18554.28281
131	18501.17883
132	18451.1552
133	18388.53051
134	18311.99314
135	18246.89555
136	18198.52433
137	18148.99417
138	18077.10991
139	18015.65226
140	17998.73281
141	17938.57764
142	17874.14572
143	17820.39563
144	17785.58274
145	17754.92704
146	17690.75229
147	17619.89804
148	17572.42722
149	17527.41555
150	17469.07967
151	17429.46085
152	17369.39522
153	17322.17427
154	17281.95555
155	17256.4342
156	17221.19948
157	17168.65919
158	17112.1036
159	17043.42252
160	17005.91267
161	16988.15304
162	16963.16093
163	16926.80488
164	16872.05857
165	16839.37554
166	16799.12221
167	16757.49245
168	16706.05233
169	16666.92258
170	16636.05723
171	16588.64588
172	16550.42483
173	16520.91668
174	16494.02779
175	16454.99088
176	16410.84065
177	16383.31378
178	16330.04986
179	16300.48337
180	16273.72964
181	16234.73458
182	16191.95694
183	16138.05908
184	16088.56955
185	16060.07712
186	16019.15343
187	16010.74684
188	15963.04928
189	15929.41771
190	15911.20806
191	15879.21936
192	15830.39864
193	15792.98061
194	15749.26951
195	15743.0733
196	15722.66812
197	15702.28619
198	15671.73139
199	15631.29133
