iter	Passed	Remaining
0	5	997
1	9	916
2	15	1037
3	24	1198
4	28	1101
5	34	1131
6	39	1100
7	43	1047
8	47	1007
9	50	956
10	54	936
11	58	916
12	61	884
13	65	868
14	70	865
15	76	877
16	81	873
17	86	873
18	90	863
19	94	854
20	98	842
21	104	846
22	109	840
23	120	882
24	143	1001
25	155	1040
26	168	1078
27	178	1097
28	203	1202
29	212	1203
30	219	1194
31	223	1170
32	227	1149
33	231	1132
34	240	1131
35	245	1116
36	253	1115
37	260	1110
38	270	1115
39	278	1115
40	286	1111
41	290	1093
42	295	1077
43	303	1077
44	321	1107
45	328	1098
46	337	1097
47	342	1083
48	346	1068
49	353	1059
50	364	1065
51	376	1071
52	390	1081
53	403	1091
54	416	1098
55	422	1085
56	425	1068
57	430	1052
58	434	1038
59	439	1025
60	442	1008
61	446	993
62	451	980
63	454	966
64	458	951
65	461	937
66	465	924
67	469	910
68	472	897
69	474	882
70	478	869
71	483	858
72	486	846
73	490	835
74	494	824
75	499	814
76	503	804
77	507	793
78	510	782
79	515	772
80	519	762
81	523	752
82	527	743
83	531	733
84	535	724
85	539	715
86	542	705
87	549	698
88	552	689
89	557	681
90	564	675
91	572	672
92	577	664
93	583	657
94	587	649
95	592	641
96	596	633
97	601	625
98	607	619
99	617	617
100	621	609
101	625	601
102	630	593
103	636	587
104	640	579
105	645	572
106	649	564
107	653	556
108	656	547
109	659	539
110	662	531
111	666	523
112	669	515
113	673	507
114	676	500
115	682	494
116	686	486
117	689	479
118	693	472
119	697	465
120	701	457
121	706	451
122	709	444
123	714	437
124	718	430
125	721	423
126	725	416
127	728	409
128	733	403
129	737	397
130	741	390
131	746	384
132	751	378
133	755	372
134	759	365
135	766	360
136	770	354
137	774	348
138	780	342
139	786	337
140	790	330
141	796	325
142	800	319
143	805	313
144	810	307
145	814	301
146	817	294
147	821	288
148	825	282
149	831	277
150	835	271
151	839	265
152	844	259
153	851	254
154	856	248
155	863	243
156	869	238
157	877	233
158	889	229
159	900	225
160	909	220
161	918	215
162	923	209
163	931	204
164	937	198
165	947	194
166	952	188
167	956	182
168	962	176
169	968	170
170	972	164
171	978	159
172	987	154
173	993	148
174	1001	143
175	1005	137
176	1014	131
177	1019	125
178	1023	120
179	1029	114
180	1042	109
181	1050	103
182	1056	98
183	1063	92
184	1068	86
185	1071	80
186	1076	74
187	1079	68
188	1083	63
189	1086	57
190	1092	51
191	1098	45
192	1103	40
193	1114	34
194	1119	28
195	1121	22
196	1127	17
197	1132	11
198	1137	5
199	1143	0
